test,compiler,size_bytes,tstates,verdict
sieve,dcc,2304,28552173,AGREE
sieve,clang,3348,33039472,AGREE
sieve,zsdcc,16151,53061068,AGREE
e,dcc,2688,31442556,AGREE
e,clang,3783,39909804,AGREE
e,zsdcc,8198,62315731,AGREE
nqueens,dcc,2944,52872238,DIFF
nqueens,clang,4214,65182065,AGREE
nqueens,zsdcc,8706,49280958,AGREE
fact,dcc,2432,69124,DIFF
fact,clang,3245,200625,AGREE
fact,zsdcc,8035,165269,AGREE
triangle,dcc,2304,51509,DIFF
triangle,clang,4320,120784,AGREE
triangle,zsdcc,7934,109761,AGREE
ttt,dcc,2944,7021831,DIFF
ttt,clang,4827,10285437,DIFF
ttt,zsdcc,BUILD_FAIL,,
tstring,dcc,6656,878264523,AGREE
tstring,clang,7434,2000000000,AGREE
tstring,zsdcc,BUILD_FAIL,,
tqsort,dcc,6272,57954585,AGREE
tqsort,clang,6941,102312148,AGREE
tqsort,zsdcc,BUILD_FAIL,,
tbsearch,dcc,4352,1158696,AGREE
tbsearch,clang,5412,1183074,AGREE
tbsearch,zsdcc,9926,2000000003,DIFF
tsetjmp,dcc,2176,28204,AGREE
tsetjmp,clang,3330,27992,AGREE
tsetjmp,zsdcc,BUILD_FAIL,,
tmalloch,dcc,2944,35398,AGREE
tmalloch,clang,3666,26197,AGREE
tmalloch,zsdcc,BUILD_FAIL,,
fwdelay,dcc,1920,309302778,AGREE
fwdelay,clang,3255,49318347,AGREE
fwdelay,zsdcc,7875,47702127,AGREE
fwfdc,dcc,2176,18146081,AGREE
fwfdc,clang,3385,5467007,AGREE
fwfdc,zsdcc,8064,9342268,AGREE
fwsector,dcc,2560,180628724,AGREE
fwsector,clang,3649,45648768,AGREE
fwsector,zsdcc,BUILD_FAIL,,
fwbitops,dcc,2944,19569537,AGREE
fwbitops,clang,3878,10283235,AGREE
fwbitops,zsdcc,8421,10036365,AGREE
fwcoord,dcc,2176,6497249,AGREE
fwcoord,clang,3567,3230221,AGREE
fwcoord,zsdcc,8086,3750384,AGREE
fwxlt,dcc,2176,54449725,AGREE
fwxlt,clang,3418,11905643,AGREE
fwxlt,zsdcc,8138,48757929,AGREE
fwcrc,dcc,2432,301802587,AGREE
fwcrc,clang,3426,89760048,AGREE
fwcrc,zsdcc,8569,105155681,AGREE
