    0.016  CS:IP=FB84:04F4  SS:SP=0000:0001
    1.024  CS:IP=FB84:0BC3  SS:SP=D000:7FF8
    2.032  CS:IP=FB84:08A3  SS:SP=D000:7FFC
    3.040  CS:IP=FB84:0933  SS:SP=D000:7FFC
    4.048  CS:IP=FB84:092B  SS:SP=D000:7FFC
    5.056  CS:IP=FB84:0896  SS:SP=D000:7FFC
    6.064  CS:IP=FB84:08A3  SS:SP=D000:7FFC
    7.072  CS:IP=FB84:0931  SS:SP=D000:7FFC
    8.080  CS:IP=FB84:092B  SS:SP=D000:7FFC
    9.088  CS:IP=FB84:0BBF  SS:SP=1000:030E
   10.096  CS:IP=FB84:0BC3  SS:SP=1000:030E
   11.104  CS:IP=FB84:150F  SS:SP=1000:0310
   16.144  CS:IP=FB84:0BBF  SS:SP=1000:030E
   17.152  CS:IP=FB84:1BEE  SS:SP=1000:0312
   18.160  CS:IP=FB84:3954  SS:SP=3600:3FF6
   21.184  CS:IP=FB84:3950  SS:SP=3600:3FF8
   22.192  CS:IP=FB84:3954  SS:SP=3600:3FF6
   23.200  CS:IP=FB84:3ACA  SS:SP=3600:3FEE
   24.208  CS:IP=FB84:3954  SS:SP=3600:3FFA
   28.240  CS:IP=FB84:3ACA  SS:SP=3600:3FF2
   29.248  CS:IP=4CB7:9D53  SS:SP=4CB7:A0B4
   30.256  CS:IP=4CB7:9D43  SS:SP=4CB7:A0B4
   32.272  CS:IP=4CB7:9D49  SS:SP=4CB7:A0B4
   33.280  CS:IP=4CB7:9D53  SS:SP=4CB7:A0B4
   34.288  CS:IP=0048:0254  SS:SP=06FA:5B33
   35.296  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
   67.552  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
   68.560  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
   90.736  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
   91.744  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  101.824  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  102.832  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  129.040  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  130.048  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  140.128  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  141.136  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  161.296  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  162.304  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  193.552  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  194.560  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  199.600  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  200.608  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  217.744  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  218.752  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  221.776  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  222.784  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  227.824  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  228.832  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  230.848  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  231.856  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  234.880  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  235.888  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  259.072  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  260.080  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  287.296  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  288.304  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  329.632  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  330.640  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
  332.656  CS:IP=06FA:5AD3  SS:SP=06FA:5B3F
  333.664  CS:IP=06FA:5AD4  SS:SP=06FA:5B4F
