elapsed  CS:IP        SS:SP        SP        SPmin     IF
    0s  FB84:04F4    0000:0001        1         1     -1
    2s  FB84:1513    1000:0310      784         1     -1
    4s  4CB7:9D53    4CB7:A0B4    41140         1     -1
    6s  06FA:5AD4    06FA:5B4F    23375         1     -1
    8s  06FA:5AD4    06FA:5B4F    23375         1     -1
   10s  06FA:5AD4    06FA:5B4F    23375         1     -1
   12s  06FA:5AD3    06FA:5B3F    23359         1     -1
   14s  06FA:5AD4    06FA:5B4F    23375         1     -1
   16s  06FA:5AD4    06FA:5B4F    23375         1     -1
   18s  06FA:5AD4    06FA:5B4F    23375         1     -1
   20s  06FA:5AD4    06FA:5B4F    23375         1     -1
   22s  06FA:5AD4    06FA:5B4F    23375         1     -1
   24s  06FA:5AD4    06FA:5B4F    23375         1     -1
   26s  06FA:5AD4    06FA:5B4F    23375         1     -1
   28s  06FA:5AD4    06FA:5B4F    23375         1     -1
   30s  06FA:5AD4    06FA:5B4F    23375         1     -1
   32s  06FA:5AD4    06FA:5B4F    23375         1     -1
   34s  06FA:5AD4    06FA:5B4F    23375         1     -1
   36s  06FA:5AD4    06FA:5B4F    23375         1     -1
   38s  06FA:5AD4    06FA:5B4F    23375         1     -1
   40s  06FA:5AD4    06FA:5B4F    23375         1     -1
   42s  06FA:5AD4    06FA:5B4F    23375         1     -1
   44s  06FA:5AD4    06FA:5B4F    23375         1     -1
   46s  06FA:5AD4    06FA:5B4F    23375         1     -1
   48s  06FA:5AD4    06FA:5B4F    23375         1     -1
   50s  06FA:5AD4    06FA:5B4F    23375         1     -1
   52s  06FA:5AD4    06FA:5B4F    23375         1     -1
   54s  06FA:5AD4    06FA:5B4F    23375         1     -1
   56s  06FA:5AD4    06FA:5B4F    23375         1     -1
   58s  06FA:5AD4    06FA:5B4F    23375         1     -1
   60s  06FA:5AD4    06FA:5B4F    23375         1     -1
   62s  06FA:5AD4    06FA:5B4F    23375         1     -1
   64s  06FA:5AD4    06FA:5B4F    23375         1     -1
   66s  06FA:5AD4    06FA:5B4F    23375         1     -1
   68s  06FA:5AD4    06FA:5B4F    23375         1     -1
   70s  06FA:5AD4    06FA:5B4F    23375         1     -1
   72s  06FA:5AD4    06FA:5B4F    23375         1     -1
   74s  06FA:5AD4    06FA:5B4F    23375         1     -1
   76s  06FA:5AD4    06FA:5B4F    23375         1     -1
   78s  06FA:5AD4    06FA:5B4F    23375         1     -1
   80s  06FA:5AD4    06FA:5B4F    23375         1     -1
   82s  06FA:5AD4    06FA:5B4F    23375         1     -1
   84s  06FA:5AD4    06FA:5B4F    23375         1     -1
   86s  06FA:5AD4    06FA:5B4F    23375         1     -1
   88s  06FA:5AD4    06FA:5B4F    23375         1     -1
   90s  06FA:5AD4    06FA:5B4F    23375         1     -1
   92s  06FA:5AD4    06FA:5B4F    23375         1     -1
   94s  06FA:5AD4    06FA:5B4F    23375         1     -1
   96s  06FA:5AD4    06FA:5B4F    23375         1     -1
   98s  06FA:5AD4    06FA:5B4F    23375         1     -1
  100s  06FA:5AD4    06FA:5B4F    23375         1     -1
  102s  06FA:5AD4    06FA:5B4F    23375         1     -1
  104s  06FA:5AD4    06FA:5B4F    23375         1     -1
  106s  06FA:5AD4    06FA:5B4F    23375         1     -1
  108s  06FA:5AD4    06FA:5B4F    23375         1     -1
  110s  06FA:5AD4    06FA:5B4F    23375         1     -1
  112s  06FA:5AD4    06FA:5B4F    23375         1     -1
  114s  06FA:5AD4    06FA:5B4F    23375         1     -1
  116s  06FA:5AD4    06FA:5B4F    23375         1     -1
  118s  06FA:5AD3    06FA:5B3F    23359         1     -1
  120s  06FA:5AD4    06FA:5B4F    23375         1     -1
  122s  06FA:5AD4    06FA:5B4F    23375         1     -1
  124s  06FA:5AD4    06FA:5B4F    23375         1     -1
  126s  06FA:5AD4    06FA:5B4F    23375         1     -1
  128s  06FA:5AD4    06FA:5B4F    23375         1     -1
  130s  06FA:5AD4    06FA:5B4F    23375         1     -1
  132s  06FA:5AD4    06FA:5B4F    23375         1     -1
  134s  06FA:5AD4    06FA:5B4F    23375         1     -1
  136s  06FA:5AD4    06FA:5B4F    23375         1     -1
  138s  06FA:5AD4    06FA:5B4F    23375         1     -1
  140s  06FA:5AD4    06FA:5B4F    23375         1     -1
  142s  06FA:5AD3    06FA:5B3F    23359         1     -1
  144s  06FA:5AD4    06FA:5B4F    23375         1     -1
  146s  06FA:5AD4    06FA:5B4F    23375         1     -1
  148s  06FA:5AD4    06FA:5B4F    23375         1     -1
  150s  06FA:5AD4    06FA:5B4F    23375         1     -1
  152s  06FA:5AD4    06FA:5B4F    23375         1     -1
  154s  06FA:5AD4    06FA:5B4F    23375         1     -1
  156s  06FA:5AD4    06FA:5B4F    23375         1     -1
  158s  06FA:5AD3    06FA:5B3F    23359         1     -1
  160s  06FA:5AD4    06FA:5B4F    23375         1     -1
  162s  06FA:5AD4    06FA:5B4F    23375         1     -1
  164s  06FA:5AD4    06FA:5B4F    23375         1     -1
  166s  06FA:5AD4    06FA:5B4F    23375         1     -1
  168s  06FA:5AD4    06FA:5B4F    23375         1     -1
  170s  06FA:5AD3    06FA:5B3F    23359         1     -1
  172s  06FA:5AD4    06FA:5B4F    23375         1     -1
  174s  06FA:5AD4    06FA:5B4F    23375         1     -1
  176s  06FA:5AD4    06FA:5B4F    23375         1     -1
  178s  06FA:5AD4    06FA:5B4F    23375         1     -1
  180s  06FA:5AD4    06FA:5B4F    23375         1     -1
  182s  06FA:5AD4    06FA:5B4F    23375         1     -1
  184s  06FA:5AD4    06FA:5B4F    23375         1     -1
  186s  06FA:5AD4    06FA:5B4F    23375         1     -1
  188s  06FA:5AD4    06FA:5B4F    23375         1     -1
  190s  06FA:5AD4    06FA:5B4F    23375         1     -1
  192s  06FA:5AD4    06FA:5B4F    23375         1     -1
  194s  06FA:5AD4    06FA:5B4F    23375         1     -1
  196s  06FA:5AD4    06FA:5B4F    23375         1     -1
  198s  06FA:5AD4    06FA:5B4F    23375         1     -1
  200s  06FA:5AD4    06FA:5B4F    23375         1     -1
  202s  06FA:5AD4    06FA:5B4F    23375         1     -1
  204s  06FA:5AD3    06FA:5B3F    23359         1     -1
  206s  06FA:5AD4    06FA:5B4F    23375         1     -1
  208s  06FA:5AD4    06FA:5B4F    23375         1     -1
  210s  06FA:5AD4    06FA:5B4F    23375         1     -1
  212s  06FA:5AD4    06FA:5B4F    23375         1     -1
  214s  06FA:5AD4    06FA:5B4F    23375         1     -1
  216s  06FA:5AD4    06FA:5B4F    23375         1     -1
  218s  06FA:5AD4    06FA:5B4F    23375         1     -1
  220s  06FA:5AD4    06FA:5B4F    23375         1     -1
  222s  06FA:5AD4    06FA:5B4F    23375         1     -1
  224s  06FA:5AD4    06FA:5B4F    23375         1     -1
  226s  06FA:5AD4    06FA:5B4F    23375         1     -1
  228s  06FA:5AD4    06FA:5B4F    23375         1     -1
  230s  06FA:5AD4    06FA:5B4F    23375         1     -1
  232s  06FA:5AD4    06FA:5B4F    23375         1     -1
  234s  06FA:5AD4    06FA:5B4F    23375         1     -1
  236s  06FA:5AD4    06FA:5B4F    23375         1     -1
  238s  06FA:5AD4    06FA:5B4F    23375         1     -1
  240s  06FA:5AD4    06FA:5B4F    23375         1     -1
  242s  06FA:5AD4    06FA:5B4F    23375         1     -1
  244s  06FA:5AD4    06FA:5B4F    23375         1     -1
  246s  06FA:5AD4    06FA:5B4F    23375         1     -1
  248s  06FA:5AD4    06FA:5B4F    23375         1     -1
  250s  06FA:5AD4    06FA:5B4F    23375         1     -1
  252s  06FA:5AD3    06FA:5B3F    23359         1     -1
  254s  06FA:5AD4    06FA:5B4F    23375         1     -1
  256s  06FA:5AD4    06FA:5B4F    23375         1     -1
  258s  06FA:5AD4    06FA:5B4F    23375         1     -1
  260s  06FA:5AD4    06FA:5B4F    23375         1     -1
  262s  06FA:5AD4    06FA:5B4F    23375         1     -1
  264s  06FA:5AD4    06FA:5B4F    23375         1     -1
  266s  06FA:5AD4    06FA:5B4F    23375         1     -1
  268s  06FA:5AD4    06FA:5B4F    23375         1     -1
  270s  06FA:5AD4    06FA:5B4F    23375         1     -1
  272s  06FA:5AD4    06FA:5B4F    23375         1     -1
  274s  06FA:5AD4    06FA:5B4F    23375         1     -1
  276s  06FA:5AD4    06FA:5B4F    23375         1     -1
  278s  06FA:5AD4    06FA:5B4F    23375         1     -1
  280s  06FA:5AD4    06FA:5B4F    23375         1     -1
  282s  06FA:5AD4    06FA:5B4F    23375         1     -1
  284s  06FA:5AD4    06FA:5B4F    23375         1     -1
  286s  06FA:5AD4    06FA:5B4F    23375         1     -1
  288s  06FA:5AD3    06FA:5B3F    23359         1     -1
  290s  06FA:5AD4    06FA:5B4F    23375         1     -1
  292s  06FA:5AD4    06FA:5B4F    23375         1     -1
